300.28,1.7879e+09,0.2395,13.733,-16
300.5,1.798e+09,0.32152,14.087,-10.583
300.68,1.8086e+09,0.26739,13.296,-33.583
300.87,1.82e+09,0.10171,13.517,-39.833
301.05,1.8322e+09,0.23294,13.809,-25.333
301.23,1.8455e+09,0.20669,13.205,-21.917
301.42,1.86e+09,0.1624,13.388,-25.667
301.6,1.8759e+09,0.21325,13.819,-20.5
302.25,1.8932e+09,0.29528,13.286,-26.833
302.9,1.9117e+09,0.11811,14.087,-23.333
303.55,1.9314e+09,0.21654,13.834,-27.5
304.2,1.9523e+09,0.25262,14.409,-20.333
304.85,1.9741e+09,0.29199,14.881,-9.8333
305.5,1.997e+09,0.26575,13.997,-20.917
305.64,2.0206e+09,0.19357,13.925,-21.417
305.78,2.045e+09,0.10827,14.07,-36.417
305.91,2.07e+09,0.18045,14.403,-14.333
306.05,2.0955e+09,0.24606,14.617,-9.6667
306.19,2.1213e+09,0.13123,13.946,-17.333
306.33,2.1471e+09,0.17717,13.478,-28.75
306.46,2.1725e+09,0.17388,14.921,-14
306.6,2.1973e+09,0.2231,13.953,-19.75
306.76,2.2211e+09,0.24606,14.65,-15.417
306.93,2.2437e+09,0.29199,13.579,-2.3333
307.09,2.2646e+09,0.24606,13.628,-2.9167
307.25,2.2835e+09,0.12139,14.158,-3.1667
307.41,2.3e+09,0.37073,14.64,7.5
307.58,2.3141e+09,0.38714,14.735,12.167
307.74,2.3265e+09,0.27231,13.621,9.5
307.9,2.3386e+09,0.18701,14.179,13.333
308.38,2.3516e+09,0.27559,13.48,25.083
308.86,2.3666e+09,0.26575,13.719,11.583
309.34,2.385e+09,0.13123,12.757,-3.75
309.82,2.408e+09,0.15748,13.148,-4.1667
310.3,2.4372e+09,0.17388,12.625,-10
310.78,2.474e+09,0.17388,12.611,-9.5833
311.26,2.53e+09,0.28215,13.556,-18.083
311.74,2.5719e+09,0.24606,12.963,-7
312.22,2.6179e+09,0.33465,13.032,0.91667
312.7,2.664e+09,0.13451,13.329,7.8333
313.22,2.7107e+09,0.21654,13.074,-12
313.73,2.7583e+09,0.2231,12.787,-14.333
314.25,2.8072e+09,0.16076,13.375,-19.333
314.77,2.8577e+09,0.24934,14.111,4.25
315.28,2.9097e+09,0.31168,15.597,5.8333
315.97,2.9632e+09,0.1378,15.167,3.25
316.91,3.0183e+09,0.19357,13.861,-3
317.64,3.0751e+09,0.15748,13.912,5.5833
318.45,3.1336e+09,0.21982,13.236,2.6667
318.99,3.1941e+09,0.20013,13.537,5.8333
319.62,3.257e+09,0.19029,13.532,-20.417
320.04,3.3225e+09,0.21325,13.069,-10.333
321.38,3.3907e+09,0.18045,13.481,-5.1667
322.16,3.4613e+09,0.26247,13.824,-2.4167
323.04,3.534e+09,0.19685,13.713,-7.0833
324.62,3.6079e+09,0.29528,13.833,6.4167
325.68,3.6825e+09,0.25919,14.213,2.5
326.32,3.7577e+09,0.13123,13.144,-9.5833
327.45,3.8336e+09,0.21982,13.537,0.75
329.68,3.9097e+09,0.36417,13.792,14.833
330.18,3.9857e+09,0.18045,13.528,-7.5833
331.08,4.0614e+09,0.19685,13.009,-1.25
332.05,4.1365e+09,0.10499,13.787,-11.25
333.78,4.2113e+09,0.13123,13.736,18.167
335.41,4.2863e+09,0.26247,14.056,6.9167
336.78,4.3622e+09,0.27559,14.222,16.917
338.68,4.4396e+09,0.18701,13.935,27.417
340.1,4.5186e+09,0.26247,14.282,32.75
341.44,4.599e+09,0.38714,13.287,13.25
343.03,4.6812e+09,0.479,14.745,30.75
344.58,4.7657e+09,0.20013,14.704,15.75
346.04,4.8525e+09,0.1706,13.88,12.417
347.39,4.9421e+09,0.25591,14.606,19.25
349.16,5.0338e+09,0.20669,14.81,34.083
351.56,5.1266e+09,0.18045,14.745,40.25
353.07,5.219e+09,0.12795,14.176,28.917
354.35,5.3097e+09,0.14764,14.389,44
355.57,5.3983e+09,0.18373,14.222,42.75
356.38,5.4851e+09,0.22638,15.403,22.75
357.07,5.57e+09,0.25591,15.056,24.417
358.82,5.6533e+09,0.26575,13.852,32
360.8,5.7351e+09,0.29856,14.556,45.833
362.59,5.8154e+09,0.3248,14.792,34.667
363.71,5.8942e+09,0.21982,15.324,47.833
366.65,5.9719e+09,0.46588,14.074,63.583
368.33,6.0492e+09,0.23622,13.713,41.917
369.52,6.1266e+09,0.28215,14.444,42.583
371.13,6.2043e+09,0.35105,14.356,54.833
373.22,6.2823e+09,0.24278,14.463,63.25
375.77,6.3608e+09,0.21325,14.764,62.083
377.49,6.4398e+09,0.24934,15.093,54.667
379.8,6.5196e+09,0.35761,14.796,69
381.9,6.6002e+09,0.31496,14.259,63.583
383.76,6.6816e+09,0.15092,14.176,66.083
385.59,6.7637e+09,0.17717,14.231,53.833
387.37,6.8465e+09,0.21654,14.509,65
389.85,6.9297e+09,0.31168,14.769,72
391.63,7.0134e+09,0.22638,13.861,60.667
393.82,7.0975e+09,0.27231,14.185,63.583
