1800,989818305.3
1801,993781026.5
1802,997817745.2
1803,1001927830
1804,1006110641
1805,1010365532
1806,1014691843
1807,1019088907
1808,1023556044
1809,1028092565
1810,1032697763
1811,1037370923
1812,1042111310
1813,1046918178
1814,1051790763
1815,1056728284
1816,1061729942
1817,1066794920
1818,1071922382
1819,1077111471
1820,1082361310
1821,1087670998
1822,1093039614
1823,1098466212
1824,1103949823
1825,1109489453
1826,1115084081
1827,1120732662
1828,1126434120
1829,1132187356
1830,1137991239
1831,1143844610
1832,1149746279
1833,1155695025
1834,1161689598
1835,1167728714
1836,1173811056
1837,1179935274
1838,1186099985
1839,1192303769
1840,1198545173
1841,1204822706
1842,1211134843
1843,1217480020
1844,1223856637
1845,1230263055
1846,1236697596
1847,1243158544
1848,1249644143
1849,1256152599
1850,1262682074
1851,1269231234
1852,1275800892
1853,1282392425
1854,1289007239
1855,1295646771
1856,1302312489
1857,1309005890
1858,1315728502
1859,1322481887
1860,1329267634
1861,1336087367
1862,1342942743
1863,1349835449
1864,1356767209
1865,1363739776
1866,1370754942
1867,1377814531
1868,1384920403
1869,1392074454
1870,1399278615
1871,1406534858
1872,1413845188
1873,1421211652
1874,1428636334
1875,1436121359
1876,1443668892
1877,1451281141
1878,1458960354
1879,1466708824
1880,1474528887
1881,1482422925
1882,1490393367
1883,1498442685
1884,1506573405
1885,1514788097
1886,1523089385
1887,1531479943
1888,1539962498
1889,1548539832
1890,1557214782
1891,1565990242
1892,1574869164
1893,1583854561
1894,1592949506
1895,1602157137
1896,1611480655
1897,1620923329
1898,1630488494
1899,1640179558
1900,1.65E+09
1901,1659947572
1902,1669996608
1903,1680114897
1904,1690269397
1905,1700426220
1906,1710550627
1907,1720607035
1908,1730559024
1909,1740369356
1910,1.75E+09
1911,1759443033
1912,1768814621
1913,1778264825
1914,1787947089
1915,1798018386
1916,1808639504
1917,1819975472
1918,1832196157
1919,1845477011
1920,1860000000
1921,1875909155
1922,1893171642
1923,1911708727
1924,1931439861
1925,1952282002
1926,1974148984
1927,1996950908
1928,2020593592
1929,2044978045
1930,2.07E+09
1931,2095524322
1932,2121306518
1933,2147063356
1934,2172497229
1935,2197296392
1936,2221135654
1937,2243677560
1938,2264574084
1939,2283468864
1940,2300000000
1941,2314055062
1942,2326540535
1943,2338643871
1944,2351580095
1945,2366593074
1946,2384963558
1947,2408024366
1948,2437183278
1949,2473954492
1950,2.53E+09
1951,2571867515
1952,2617940399
1953,2664029010
1954,2710677773
1955,2758314525
1956,2807246148
1957,2857662910
1958,2909651396
1959,2963216053
1960,3018343828
1961,3075073173
1962,3133554362
1963,3194075347
1964,3256988501
1965,3322495121
1966,3390685523
1967,3461343172
1968,3533966901
1969,3607865513
1970,3682487691
1971,3757734668
1972,3833594894
1973,3909722120
1974,3985733775
1975,4061399228
1976,4136542070
1977,4211322427
1978,4286282447
1979,4362189531
1980,4439632465
1981,4518602042
1982,4599003374
1983,4681210508
1984,4765657562
1985,4852540569
1986,4942056118
1987,5033804944
1988,5126632694
1989,5218978019
1990,5309667699
1991,5398328753
1992,5485115276
1993,5570045380
1994,5653315893
1995,5735123084
1996,5815392305
1997,5894155105
1998,5971882825
1999,6049205203
2000,6126622121
2001,6204310739
2002,6282301767
2003,6360764684
2004,6439842408
2005,6519635850
2006,6600220247
2007,6681607320
2008,6763732879
2009,6846479521
2010,6929725043
2011,7013427052
2012,7097500453
2013,7181715139
2014,7265785946
