,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,label
10,300.46,300.48,300.5,300.51,300.53,300.55,300.56,300.57,300.59,300.61,300.62,300.63,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,15.7,16.2,16.889,16.256,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,159.4,ML
11,300.48,300.5,300.51,300.53,300.55,300.56,300.57,300.59,300.61,300.62,300.63,300.65,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,15.7,16.2,16.889,16.256,13.406,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,265.39,HL
12,300.5,300.51,300.53,300.55,300.56,300.57,300.59,300.61,300.62,300.63,300.65,300.67,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,10.383,11.567,14.383,13.928,14.222,14.944,15.7,16.2,16.889,16.256,13.406,11.172,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,208.77,HL
13,300.51,300.53,300.55,300.56,300.57,300.59,300.61,300.62,300.63,300.65,300.67,300.68,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,11.567,14.383,13.928,14.222,14.944,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,290.78,HL
14,300.53,300.55,300.56,300.57,300.59,300.61,300.62,300.63,300.65,300.67,300.68,300.7,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,14.383,13.928,14.222,14.944,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,134.1,ML
15,300.55,300.56,300.57,300.59,300.61,300.62,300.63,300.65,300.67,300.68,300.7,300.71,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,0.07874,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,13.928,14.222,14.944,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,112.8,ML
16,300.56,300.57,300.59,300.61,300.62,300.63,300.65,300.67,300.68,300.7,300.71,300.73,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,0.3937,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,14.222,14.944,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,-1.0,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,92.613,LL
17,300.57,300.59,300.61,300.62,300.63,300.65,300.67,300.68,300.7,300.71,300.73,300.74,1802400000.0,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,0.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,14.944,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,-15.0,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,46.297,VLL
18,300.59,300.61,300.62,300.63,300.65,300.67,300.68,300.7,300.71,300.73,300.74,300.76,1803300000.0,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,0.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,15.7,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,-2.0,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,102.35,ML
19,300.61,300.62,300.63,300.65,300.67,300.68,300.7,300.71,300.73,300.74,300.76,300.77,1804200000.0,1805100000.0,1806000000.0,1806900000.0,1807800000.0,1808600000.0,1809600000.0,1810500000.0,1811500000.0,1812400000.0,1813400000.0,1814300000.0,0.0,0.0,0.0,0.11811,0.98425,1.8504,0.51181,0.15748,0.0,0.0,0.0,0.0,16.2,16.889,16.256,13.406,11.172,8.3222,13.256,13.644,14.211,13.217,14.122,15.556,-14.0,-12.0,-22.0,-14.0,-26.0,-20.0,-22.0,-30.0,-25.0,-26.0,-43.0,-33.0,120.68,ML
